date,rainfall,sunhours,windspeed,temperature,heating_degree_days
Q3 2010,374.1339363,4.873690615,8.361770652,15.45716874,0.814130435
Q4 2010,298.6857224,2.414651388,7.945779348,5.166640787,10.33335921
Q1 2011,391.7906207,2.615392864,8.164267778,5.631481481,9.868518519
Q2 2011,349.6948505,6.967222329,8.900384615,12.64249084,3.003898482
Q3 2011,409.0962913,5.326767389,8.071475,15.28540373,0.777691511
Q4 2011,738.6290659,2.463079516,10.96215543,9.275310559,6.328597308
Q1 2012,328.1816094,3.3688073,8.881232277,6.14144427,9.35855573
Q2 2012,261.2176518,4.966581096,7.805674194,10.84806384,4.835295657
Q3 2012,355.5793219,5.386334523,7.788141184,15.08757764,1.214440994
Q4 2012,511.1353632,2.372451645,8.185448403,7.00318323,8.49681677
Q1 2013,254.3896851,2.140999248,8.419319863,3.421164021,12.07883598
Q2 2013,238.3990489,6.137354795,8.85312927,10.63545264,4.904918891
Q3 2013,249.1924499,6.370754978,7.171340597,16.37681159,0.703571429
Q4 2013,579.9729781,2.384584855,9.991456354,8.434808489,7.088561077
Q1 2014,513.9280966,3.272150254,11.12500247,6.500793651,8.999206349
Q2 2014,255.0850577,6.115370138,7.288565027,12.52710623,3.093694401
Q3 2014,220.8231491,6.152070725,7.062615398,15.91708075,0.613664596
Q4 2014,530.6537253,2.487225426,9.322621522,8.742727743,6.78126294
Q1 2015,522.7932411,3.275910061,10.76926568,5.160846561,10.33915344
Q2 2015,314.8520542,6.808876871,8.699706357,11.31384092,4.305677656
Q3 2015,259.452495,5.663107392,7.773023846,14.81925466,1.265864389
Q4 2015,626.1543734,1.822369498,10.33643658,9.96560559,5.5373706
Q1 2016,469.6726025,2.87245394,9.816948115,5.632796965,9.867203035
Q2 2016,228.4551815,5.532361392,7.727135956,11.51732866,4.103924647
Q3 2016,402.7822719,5.889266865,8.26532018,16.45815217,0.402769151
Q4 2016,279.6195929,2.638823681,7.637402944,7.750414079,7.749585921
Q1 2017,345.7698277,2.65464991,9.14528204,6.350026455,9.149973545
Q2 2017,216.885083,6.227553775,8.304311334,12.64842796,3.369453166
Q3 2017,343.4275613,5.197755143,7.943726231,15.22269669,0.875232919
Q4 2017,424.860085,2.377591084,9.359115085,8.140191511,7.371221532
Q1 2018,366.1857676,2.772244363,9.677253908,4.453359788,11.04664021
Q2 2018,187.4953503,6.736438639,7.546945628,12.8110675,3.078754579
Q3 2018,327.2268915,6.53231175,7.732892107,16.44151139,0.85936853
Q4 2018,439.8474387,2.772814794,9.140137863,8.588586957,6.94076087
Q1 2019,333.1550797,3.391346509,9.389983574,6.328756614,9.171243386
Q2 2019,181.1300763,6.027520922,7.599226162,11.54037153,4.134327577
Q3 2019,457.8371767,6.33189265,7.649223748,16.34307534,0.554778727
Q4 2019,420.8259076,2.079024361,8.297151184,7.55626294,7.94373706
Q1 2020,615.0987609,3.253769335,11.54748667,6.624542125,8.875457875
Q2 2020,183.8538336,7.910158336,7.79445226,12.65868707,3.168471481
Q3 2020,390.937553,5.415384012,7.941170773,15.64236542,1.010817805
Q4 2020,545.3098462,1.953981613,8.851506122,8.148498965,7.351501035
Q1 2021,392.95232,2.59243469,9.174928208,5.259867725,10.24013228
Q2 2021,137.1800998,6.501914411,7.097716705,10.69335426,4.988487703
Q3 2021,229.0806774,5.041686205,6.296079563,16.56247412,0.283799172
Q4 2021,459.6254116,2.135082279,8.615521504,8.779994824,6.734161491
Q1 2022,379.710816,3.809429683,9.979886038,6.577486772,8.922513228
Q2 2022,243.9362461,6.613445193,8.033785374,12.42904239,3.254238619
Q3 2022,251.4440566,6.506488647,7.036199605,17.03250518,0.60621118
Q4 2022,492.9230766,2.717034257,9.024860044,8.597619048,6.902380952
Q1 2023,376.6396942,2.68176731,9.236412102,6.281746032,9.218253968
Q2 2023,163.4917289,7.032153616,6.853413053,12.67223967,3.455075877
Q3 2023,390.8394875,5.257665236,8.046922997,16.40463251,0.418271222
Q4 2023,458.2542773,2.105615756,9.068274157,8.847127329,6.711361284
Q1 2024,405.990154,2.433353649,9.382006378,6.818524333,8.681475667
Q2 2024,254.4739919,5.612069115,7.98951686,12.51321298,3.176164312
Q3 2024,334.7132639,5.312243526,7.850165518,15.61490683,0.925957557
Q4 2024,391.3045246,1.944739647,8.565453813,8.79369824,6.70630176
